duration,packet_count,byte_count,avg_packet_size,packet_rate,byte_rate,iat_mean,iat_std,iat_min,iat_max,syn_count,rst_count,ack_count,fin_count,urg_count,unique_dst_ports,src_port,dst_port,label
0.11689310043490543,2841,156255,55.0,24304.257389272305,1336734.1564099768,9.815950618363703e-05,9.87705279501661e-05,4.394795370380619e-08,0.0008371243539011614,2171,3,2,0,0,1,14882,80,ddos
0.9216869509003399,51,52887,1037.0,55.3333210914847,57380.65397186963,0.0562050559512399,0.05422980276701804,0.0017017962964471674,0.25203685465013964,1,0,33,0,0,2,4604,80,normal
2.217930783537357,134,9246,69.0,60.41667350244567,4168.750471668751,0.05749387916818761,0.025888123725904304,0.010098286688110773,0.09912013003803714,89,58,9,0,2,831,17694,68,intrusion
0.281371379410489,2387,97867,41.0,8483.449898142046,347821.4458238239,0.00010037009278928544,0.00010095785759124988,4.69962761053535e-09,0.0008958962158284408,2112,0,9,0,0,1,25596,53,ddos
2.3295127816087335,69,25392,368.0,29.61992762810661,10900.133367143231,0.058614811025937456,0.0471606730659237,0.0021926955889329447,0.21691744381157793,2,1,33,1,0,1,8451,443,normal
1.9233421503745722,249,12699,51.0,129.46214481469514,6602.569385549451,0.05683744743742653,0.0253545377782756,0.011581291421378795,0.09986704850793808,99,89,16,3,0,740,31226,378,intrusion
0.1548657660996802,3284,144496,44.0,21205.461237225503,933040.2944379222,0.00010022562922717392,9.958721829432147e-05,2.0480496837596045e-08,0.0009561341773669492,3250,4,1,0,0,1,16037,80,ddos
0.047910471861536366,3284,180620,55.0,68544.5138067294,3769948.259370117,0.00010051796130236335,0.00010204415732828324,1.8067901461200263e-08,0.0009384473967140139,3170,0,8,0,0,1,4719,443,ddos
4.616776424536812,46,48254,1049.0,9.963662038196933,10451.881478068583,0.04888038073085827,0.05155345315442051,0.0012523144698064561,0.20187979066341996,2,1,25,0,0,2,18169,53,normal
0.29967055815241816,14,15134,1081.0,46.71796951397318,50502.12504460501,0.07072310323598464,0.08797975926011069,0.009505237015822482,0.3598151024322205,2,1,8,0,0,1,57871,53,normal
1.9102995515272565,50,47600,952.0,26.173905532263635,24917.55806671498,0.03907154750232932,0.026798126736272892,0.00020835986959416263,0.09679590708647307,1,1,33,1,0,1,41419,21,normal
1.9136726727309439,212,9540,45.0,110.78174602214561,4985.1785709965525,0.05911533281041237,0.027027648634775154,0.010049874834961354,0.09935557382543315,141,69,15,1,2,777,17603,645,intrusion
